rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,duration,genres,imdb_rating,poster_path
227,雨人,/ Rain Man,8.7,445207,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,,https://movie.douban.com/subject/1291870/,1988,133分钟,剧情,,
228,虎口脱险,/ La grande vadrouille,8.9,298348,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,,https://movie.douban.com/subject/1296909/,1966,119分钟,喜剧/战争,,
229,哈利·波特与凤凰社,/ Harry Potter and the Order of the Phoenix,8.6,701017,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,,https://movie.douban.com/subject/1457217/,2007,138分钟,奇幻/冒险,,
230,彗星来的那一夜,/ Coherence,8.6,690795,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,小成本大魅力。,https://movie.douban.com/subject/25807345/,2013,89分钟,科幻/悬疑/惊悚,,
231,罗生门,/ 羅生門,8.8,360799,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 京町子 ...,,https://movie.douban.com/subject/1291879/,1950,88分钟,剧情/悬疑/犯罪,,
232,海边的曼彻斯特,/ Manchester by the Sea,8.6,658417,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/,2016,137分钟,剧情/家庭,,
233,恋恋笔记本,/ The Notebook,8.5,754030,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,https://movie.douban.com/subject/1309163/,2004,123分钟,剧情/爱情,,
234,火星救援,/ The Martian,8.5,843640,雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡...,,https://movie.douban.com/subject/25864085/,2015,142分钟,剧情/科幻/冒险,,
235,真爱至上,/ Love Actually,8.5,811488,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 连姆...,,https://movie.douban.com/subject/1292401/,2003,135分钟,剧情/喜剧/爱情,,
236,黑客帝国2：重装上阵,/ The Matrix Reloaded,8.7,458482,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,,https://movie.douban.com/subject/1304141/,2003,138分钟,动作/科幻,,
237,冰雪奇缘,/ Frozen,8.5,837694,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,,https://movie.douban.com/subject/4202982/,2013,102分钟,喜剧/动画/歌舞/奇幻,,
238,步履不停,/ 歩いても 歩いても,8.8,330556,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/,2008,115分钟,剧情/家庭,,
239,奇迹男孩,/ Wonder,8.6,603381,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/,2017,113分钟,剧情/家庭/儿童,,
240,千年女优,/ 千年女優,8.8,320446,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,,https://movie.douban.com/subject/1307394/,2001,87 分钟,剧情/爱情/动画,,
241,谍影重重2,/ The Bourne Supremacy,8.7,402533,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/,2004,108分钟,动作/悬疑/惊悚,,
242,战争之王,/ Lord of War,8.7,418093,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/,2005,122 分钟,剧情/犯罪,,
243,蜘蛛侠：平行宇宙,/ Spider-Man: Into the Spider-Verse,8.6,761648,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,,,https://movie.douban.com/subject/26374197/,2018,116分钟(中国大陆),动作/科幻/动画/冒险,,
244,攻壳机动队,/ 攻殻機動隊,9.0,220553,押井守 Mamoru Oshii,田中敦子 Atsuko Tanaka / 大冢明夫 Akio...,,https://movie.douban.com/subject/1291936/,1995,83分钟,动作/科幻/动画,,
245,血钻,/ Blood Diamond,8.7,424176,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/,2006,143分钟,剧情/惊悚/冒险,,
246,小姐,/ 아가씨,8.5,582411,朴赞郁 Chan-wook Park,金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...,,https://movie.douban.com/subject/25977027/,2016,145分钟,剧情/悬疑/情色/同性,,
247,隐藏人物,/ Hidden Figures,8.9,275597,特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ...,,https://movie.douban.com/subject/26615208/,2016,127分钟,剧情/传记/历史,,
248,血观音,/ 血觀音,8.6,570051,杨雅喆 Ya-che Yang,惠英红 Kara Wai Ying Hung / 吴可熙 Wu K...,,https://movie.douban.com/subject/27113517/,2017,112分钟,剧情/悬疑,,
249,魂断蓝桥,/ Waterloo Bridge,8.8,312438,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,,https://movie.douban.com/subject/1293964/,1940,108分钟,剧情/爱情/战争,,
250,房间,/ Room,8.7,401799,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/,2015,118分钟,剧情/家庭,,
